Date,PnL Points,Lot Size,Pnl
16-09-2016,-80.8969964,25,-2022.42
22-09-2016,15.2,25,380.00
26-09-2016,66.7863,25,1669.66
29-09-2016,362.2823,25,9057.06
05-10-2016,-78.3822184,25,-1959.56
13-10-2016,183.3,25,4582.50
17-10-2016,-77.0060108,25,-1925.15
18-10-2016,148.343,25,3708.57
20-10-2016,22.9731,25,574.33
26-10-2016,90.4,25,2260.00
27-10-2016,-77.1981776,25,-1929.95
02-11-2016,-26.25,25,-656.25
04-11-2016,-76.2494296,25,-1906.24
07-11-2016,0.25,25,6.25
09-11-2016,-75.6958,25,-1892.40
15-11-2016,-77.7188996,25,-1942.97
21-11-2016,135.7048,25,3392.62
24-11-2016,103.7823,25,2594.56
25-11-2016,79.5693,25,1989.23
28-11-2016,-20.55,25,-513.75
30-11-2016,191.3973,25,4784.93
07-12-2016,-74.4375488,25,-1860.94
09-12-2016,-24.5567,25,-613.92
12-12-2016,64.8791,25,1621.98
15-12-2016,106,25,2650.00
20-12-2016,110.9684,25,2774.21
22-12-2016,65.8369,25,1645.92
26-12-2016,63,25,1575.00
30-12-2016,-73.1025068,25,-1827.56
02-01-2017,-71.8140516,25,-1795.35
05-01-2017,5.7028,25,142.57
06-01-2017,2.765,25,69.12
11-01-2017,254.7644,25,6369.11
18-01-2017,-77.0761448,25,-1926.90
20-01-2017,156,25,3900.00
25-01-2017,273.0212,25,6825.53
27-01-2017,41.674,25,1041.85
01-02-2017,291.8468,25,7296.17
03-02-2017,1.1546,25,28.86
06-02-2017,-81.9255288,25,-2048.14
08-02-2017,-81.01796,25,-2025.45
09-02-2017,-80.6074656,25,-2015.19
13-02-2017,-80.5840472,25,-2014.60
15-02-2017,-80.6986384,25,-2017.47
21-02-2017,16.8592,25,421.48
23-02-2017,-83.8221624,25,-2095.55
27-02-2017,17.34,25,433.50
01-03-2017,32.5,25,812.50
02-03-2017,76.2442,25,1906.11
06-03-2017,-82.95148,25,-2073.79
08-03-2017,-82.4526496,25,-2061.32
14-03-2017,-84.4976,25,-2112.44
17-03-2017,25.9,25,647.50
21-03-2017,7.0864,25,177.16
22-03-2017,27.2,25,680.00
24-03-2017,65.2918,25,1632.29
28-03-2017,-30.0168,25,-750.42
29-03-2017,55.0798,25,1376.99
